encoder1,encoder2,encoder3,encoder4,encoder5,encoder6
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24530
13284,13823,13101,15014,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15014,24469,24529
13284,13823,13101,15015,24469,24530
13283,13823,13101,15015,24469,24530
13284,13824,13101,15015,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24529
13284,13823,13101,15014,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24529
13284,13823,13101,15014,24469,24530
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24530
13284,13823,13101,15014,24469,24529
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24529
13283,13823,13101,15015,24469,24529
13283,13823,13101,15014,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15014,24469,24530
13284,13823,13101,15015,24469,24529
13284,13823,13101,15015,24469,24529
