Hora,Litros_consumidos
6:0:0,1.28302053540067
6:5:0,1.73839966055278
6:10:0,5.750580625706
6:15:0,6.24707667017501
6:20:0,6.97096209991139
6:25:0,8.62576662018626
6:30:0,12.2788612761714
6:35:0,12.6636593717989
6:40:0,14.7944023359788
6:45:0,18.3282270386816
6:50:0,19.3021509700771
6:55:0,20.340802401568
7:0:0,23.0795809388515
7:5:0,25.2076349633561
7:10:0,26.2648421933471
7:15:0,27.085492177669
7:20:0,27.1795256965224
7:25:0,29.7165912423286
7:30:0,34.0339469597309
7:35:0,35.390587056618
7:40:0,39.1995330396531
7:45:0,44.0155165362955
7:50:0,44.6519687557917
7:55:0,48.5595331318187
8:0:0,52.8233714146942
8:5:0,56.6879162521469
8:10:0,58.8277851077575
8:15:0,60.1674090435458
8:20:0,61.4436366834327
8:25:0,65.5782102647674
8:30:0,68.5868544485476
8:35:0,72.5793414819986
8:40:0,73.7022390418426
8:45:0,100.864489822244
8:50:0,76.3051909015192
8:55:0,79.5770345512688
9:0:0,107.995598207664
9:5:0,85.0912674710553
9:10:0,89.8568392476521
9:15:0,92.2857002728767
9:20:0,94.0710850516896
9:25:0,95.7078947848108
9:30:0,100.565306457763
9:35:0,104.401016378197
9:40:0,108.704122552196
9:45:0,108.781303998473
9:50:0,113.488767402352
9:55:0,114.914280423307
10:0:0,115.247339188502
10:5:0,118.51884781526
10:10:0,123.173763588162
10:15:0,123.252371761656
10:20:0,126.056441598072
10:25:0,127.163414264757
10:30:0,129.965231542798
10:35:0,131.958338302543
10:40:0,133.540763868747
10:45:0,138.483362407464
10:50:0,138.792824014795
10:55:0,139.224500007628
11:0:0,139.539365712721
11:5:0,141.619969994162
11:10:0,142.62863871535
11:15:0,145.996213360929
11:20:0,146.245059022355
11:25:0,149.844256813642
11:30:0,150.32020510605
11:35:0,150.706613557347
11:40:0,151.222712048327
11:45:0,155.966841075344
11:50:0,159.377677414405
11:55:0,161.75409241335
12:0:0,162.404445692351
12:5:0,166.139987965457
12:10:0,167.860101852438
12:15:0,170.931822953564
12:20:0,174.581687093075
12:25:0,176.406668236673
12:30:0,178.929104891371
12:35:0,180.128784548702
12:40:0,180.342206652464
12:45:0,181.872849490288
12:50:0,186.041954570383
12:55:0,190.421329819073
13:0:0,194.211673725225
13:5:0,199.099346576348
13:10:0,202.392612119014
13:15:0,206.634486939121
13:20:0,207.970378610549
13:25:0,211.827165316525
13:30:0,215.647368053703
13:35:0,216.465046864785
13:40:0,221.297856116636
13:45:0,225.022219356469
13:50:0,229.572574577258
13:55:0,231.225514758942
14:0:0,232.87647458587
14:5:0,237.508408347139
14:10:0,241.041115350737
14:15:0,242.600656609072
14:20:0,245.98428401202
14:25:0,249.6857278346
14:30:0,252.709061477907
14:35:0,257.440022765734
14:40:0,262.292828314297
14:45:0,267.166749752294
14:50:0,267.876018611097
14:55:0,271.017120221752
15:0:0,272.999451584988
15:5:0,277.639542208564
15:10:0,278.259322709182
15:15:0,281.676630081254
15:20:0,283.824279939843
15:25:0,288.218237852283
15:30:0,290.897969854893
15:35:0,294.125954771348
15:40:0,294.4573776143
15:45:0,296.76131551973
15:50:0,297.8284819192
15:55:0,301.762509621016
16:0:0,305.66837496981
16:5:0,306.642492846693
16:10:0,308.713027656902
16:15:0,312.290077161056
16:20:0,316.335464623157
16:25:0,319.303986800968
16:30:0,323.47308826224
16:35:0,325.909102087029
16:40:0,328.715867456614
16:45:0,328.903094216255
16:50:0,333.333203527063
16:55:0,333.771233663823
17:0:0,338.768623347701
17:5:0,342.617092531151
17:10:0,343.88032322632
17:15:0,345.330823557052
17:20:0,345.654436221474
17:25:0,347.479291676643
17:30:0,348.507692363474
17:35:0,352.866488085483
17:40:0,357.69728774452
17:45:0,359.446188844631
17:50:0,363.691316088101
17:55:0,367.301352824922
18:0:0,338.675781432887
18:5:0,370.49060111374
18:10:0,371.402865549018
18:15:0,375.578374910266
18:20:0,375.920915219103
18:25:0,380.672070940367
18:30:0,384.282430495021
18:35:0,386.021767302315
18:40:0,386.605228793873
18:45:0,391.240483232062
18:50:0,393.970178545712
18:55:0,396.092817292491
19:0:0,398.720642657857
19:5:0,401.540672941374
19:10:0,403.238622397972
19:15:0,408.223759071292
19:20:0,412.392106094771
19:25:0,415.328048913923
19:30:0,415.690986737584
19:35:0,417.910760192864
19:40:0,420.710740596716
19:45:0,421.130751162263
19:50:0,422.34692763353
19:55:0,426.160691633211
20:0:0,430.454704378216
20:5:0,435.304030145254
20:10:0,439.354715305775
20:15:0,440.695972091749
20:20:0,441.671072878802
20:25:0,442.839221363656
20:30:0,447.353716475595
20:35:0,447.688319239824
20:40:0,448.216673601188
20:45:0,451.408569332354
20:50:0,451.570190464341
20:55:0,456.412668676983
21:0:0,458.176793624756
21:5:0,462.004425387694
21:10:0,462.559006492309
21:15:0,465.625723476063
21:20:0,467.575680912879
21:25:0,470.431929470899
21:30:0,475.285580376684
21:35:0,480.285033177491
21:40:0,481.016537441512
21:45:0,484.599923545585
21:50:0,486.214788509248
21:55:0,489.240320532459
22:0:0,491.531029072571
22:5:0,492.198576357415
22:10:0,494.616910828727
22:15:0,497.475260277461
22:20:0,499.166135680389
22:25:0,504.150729799666
22:30:0,507.457972860059
22:35:0,511.515442581002
22:40:0,513.838130853405
22:45:0,487.410566500639
22:50:0,517.877325031606
22:55:0,520.852943076254
23:0:0,521.161373371871
23:5:0,524.516108955656
23:10:0,525.676169206417
23:15:0,529.566829949937
23:20:0,532.183020019652
23:25:0,536.57052268183
23:30:0,537.948527086278
23:35:0,538.68857614102
23:40:0,540.683675420321
23:45:0,545.480064426462
23:50:0,546.749005928065
23:55:0,549.886550384169
0:0:0,551.542925980248
0:5:0,555.137700812177
0:10:0,559.641366900824
0:15:0,562.393013510837
0:20:0,564.215987241278
0:25:0,567.331242574715
0:30:0,569.237454234647
0:35:0,573.483158095695
0:40:0,576.696544275258
0:45:0,578.627074336744
0:50:0,582.095148421258
0:55:0,584.276508513032
1:0:0,585.251380161085
1:5:0,589.479916275188
1:10:0,592.240378094874
1:15:0,595.644293066147
1:20:0,597.033087515232
1:25:0,598.860731791681
1:30:0,603.221805392048
1:35:0,604.780580193631
1:40:0,606.793920075141
1:45:0,608.750550593583
1:50:0,611.387987679728
1:55:0,614.462623410749
2:0:0,618.179961108089
2:5:0,620.770077911529
2:10:0,623.634264412113
2:15:0,623.659104621379
2:20:0,623.782773603079
2:25:0,625.746141454774
2:30:0,627.647894068356
2:35:0,628.725178801891
2:40:0,632.761253373737
2:45:0,634.137954712756
2:50:0,637.233431382039
2:55:0,640.384553416673
3:0:0,644.17349692036
3:5:0,648.701619713298
3:10:0,651.393596246384
3:15:0,653.911330790717
3:20:0,656.359031430816
3:25:0,658.5716928574
3:30:0,661.18843321908
3:35:0,665.933186193429
3:40:0,667.480724792193
3:45:0,670.184964147347
3:50:0,672.574081471272
3:55:0,674.614472796703
4:0:0,676.029594705421
4:5:0,676.262609930132
4:10:0,678.154576752373
4:15:0,679.202129089783
4:20:0,681.058528298415
4:25:0,685.822299843737
4:30:0,660.559531862391
4:35:0,692.78560559778
4:40:0,696.599615699602
4:45:0,697.147193185773
4:50:0,699.966375106074
4:55:0,700.020964382276
5:0:0,702.516716082285
5:5:0,704.676177834804
5:10:0,704.850450925275
5:15:0,708.804410055626
5:20:0,710.566161155524
5:25:0,711.579661183041
5:30:0,716.484702412547
5:35:0,721.325760693551
5:40:0,724.859348221755
5:45:0,727.445236802048
5:50:0,727.95335604396
5:55:0,729.124826790249
